,name,solved,IK_total,IK_avg,plan_tries,wall_time
0,bookshelf_cage_0000,True,6,6.0,1,1.3509371390100569
1,bookshelf_cage_0001,True,14,14.0,1,1.7716725970094558
2,bookshelf_cage_0002,True,4,4.0,1,0.8093511739862151
3,bookshelf_cage_0003,True,10,5.0,2,7.020670247991802
4,bookshelf_cage_0004,True,1,1.0,1,0.14426206599455327
5,bookshelf_cage_0005,True,1,1.0,1,0.0948597959941253
6,bookshelf_cage_0006,True,10,10.0,1,1.3413263489783276
7,bookshelf_cage_0007,True,4,2.0,2,2.229656376002822
8,bookshelf_cage_0008,True,3,3.0,1,0.09138581602019258
9,bookshelf_cage_0009,True,1,0.5,2,5.064195063983789
10,bookshelf_cage_0010,True,6,6.0,1,0.23403301401413046
11,bookshelf_cage_0011,True,4,4.0,1,0.16125270098564215
12,bookshelf_cage_0012,True,6,6.0,1,1.3127393410250079
13,bookshelf_cage_0013,True,3,3.0,1,0.21012829500250518
14,bookshelf_cage_0014,True,6,6.0,1,0.25076037299004383
15,bookshelf_cage_0015,True,10,10.0,1,1.404278146015713
16,bookshelf_cage_0016,True,25,25.0,1,3.5536506549979094
17,bookshelf_cage_0017,True,2,2.0,1,0.18609860600554384
18,bookshelf_cage_0018,True,3,3.0,1,0.581550242000958
19,bookshelf_cage_0019,True,2,2.0,1,0.3033222569792997
20,bookshelf_cage_0020,True,3,3.0,1,0.19891790798283182
21,bookshelf_cage_0021,True,24,24.0,1,1.8595606979797594
22,bookshelf_cage_0022,True,20,20.0,1,2.5819438549806364
23,bookshelf_cage_0023,True,2,2.0,1,0.22926607000408694
24,bookshelf_cage_0024,True,1,1.0,1,0.34161980799399316
25,bookshelf_cage_0025,True,20,20.0,1,3.421705524000572
26,bookshelf_cage_0026,True,7,3.5,2,1.8672212040110026
27,bookshelf_cage_0027,True,1,1.0,1,0.39821723400382325
28,bookshelf_cage_0028,True,50,25.0,2,8.842079910973553
29,bookshelf_cage_0029,True,1,1.0,1,0.6939952649991028
30,bookshelf_cage_0030,True,19,19.0,1,0.9723890050081536
31,bookshelf_cage_0031,True,2,2.0,1,0.8608323480002582
32,bookshelf_cage_0032,True,2,0.25,8,17.121315978991333
33,bookshelf_cage_0033,True,3,3.0,1,0.6527235160174314
34,bookshelf_cage_0034,True,5,5.0,1,0.6608844680013135
35,bookshelf_cage_0035,True,7,7.0,1,1.1841324089909904
36,bookshelf_cage_0036,True,4,4.0,1,1.1275895310100168
37,bookshelf_cage_0037,True,4,4.0,1,0.11268925000331365
38,bookshelf_cage_0038,True,1,1.0,1,0.20262347999960184
39,bookshelf_cage_0039,True,1,1.0,1,0.1634570689930115
40,bookshelf_cage_0040,True,6,6.0,1,0.3480249439890031
41,bookshelf_cage_0041,True,2,2.0,1,0.2677970699733123
42,bookshelf_cage_0042,True,1,1.0,1,1.1940473449940328
43,bookshelf_cage_0043,True,3,3.0,1,0.8927044440060854
44,bookshelf_cage_0044,True,4,4.0,1,0.9306920990056824
45,bookshelf_cage_0045,True,4,4.0,1,0.22865127999102697
46,bookshelf_cage_0046,True,38,38.0,1,4.193827017006697
